instr,term,enroll,evals,rmd_class,rmd_instr,time,Course_ID,Course_Name,expected_grade,expected_gpa,actual_grade,actual_gpa
"Whitworth-Smith, Andrew C",SP23,36,33,93.5,93.5,6.5,COMM 160,Poli Economy-Internatl Comm (A),A-,3.88,A-,3.82
"Staschus, Sophie",SP23,25,4,100.0,100.0,5.0,COMM 163,Concepts of Freedom (A),A,4.0,B,3.26
"Dominguez Rubio, Fernando",SP23,25,11,100.0,100.0,4.1,COMM 164,Invisible Geog Power&Inequal (A),B+,3.6,B,3.17
"Alac, Morana",SP23,30,10,100.0,100.0,6.06,COMM 173,Interaction with Technology (A),A-,3.9,B+,3.45
"Alac, Morana",SP23,29,9,88.9,100.0,4.5,COMM 174,Comm & Social Machines (A),A,4.0,B+,3.65
"Boateng, Boatema",SP23,24,7,57.1,57.1,5.07,COMM 190,Junior Seminar in Comm (A),A-,3.71,B,3.08
"Gates, Kelly",SP23,24,7,100.0,100.0,3.83,COMM 190,Junior Seminar in Comm (B),B+,3.67,B+,3.7
"Sahoo, Debashis",SP23,192,80,95.9,79.7,7.87,CSE 100,Advanced Data Structures (A),B+,3.65,B+,3.37
"Sahoo, Debashis",SP23,245,80,94.6,71.2,8.39,CSE 100R,Advanced Data Structures (A),B+,3.58,B+,3.49
"Jones, Miles E",SP23,469,157,92.2,94.8,8.8,CSE 101,Design & Analysis of Algorithm (A),B+,3.43,B+,3.43
"Micciancio, Daniele",SP23,82,23,71.4,71.4,7.74,CSE 107,Intro to Modern Cryptography (A),B,3.19,C+,2.36
"Cao, Yingjun",SP23,126,43,100.0,97.6,8.6,CSE 11,Accel. Intro to Programming (A),B+,3.47,B,3.11
"Powell, Thomas Allan",SP23,291,88,67.9,67.5,7.94,CSE 110,Software Engineering (A),A-,3.7,B+,3.41
"Miranda, Gregory Joseph",SP23,97,61,81.7,95.0,9.4,CSE 110,Software Engineering (B),B+,3.48,B+,3.38
"Cao, Yingjun",SP23,253,93,96.7,96.7,7.9,CSE 12,Basic Data Struct & OO Design (A),B+,3.61,B+,3.33
"Zhang, Yiying",SP23,169,67,77.4,77.4,11.53,CSE 120,Princ/Computer Operating Systm (A),B+,3.33,B,3.18
"Shalev, Aaron D",SP23,59,16,100.0,100.0,12.23,CSE 123,Computer Networks (A),B,3.0,C+,2.46
"Voelker, Geoffrey M.",SP23,36,10,100.0,100.0,9.17,CSE 125,Software Sys Design & Implemnt (A),A-,3.88,A,4.0
"Fernandes, Earlence T",SP23,182,47,83.7,76.7,8.78,CSE 127,Intro to Computer Security (A),B,3.22,B,3.29
"Polikarpova, Nadezhda",SP23,174,55,92.6,94.4,8.12,CSE 130,Progrmng Lang:Princpl&Paradigm (A),A-,3.79,B+,3.53
"Deutsch, Alin Bernard",SP23,53,13,92.3,92.3,8.96,CSE 132B,Database System Applications (A),B+,3.54,A-,3.71
"Kumar, Arun Kumar",SP23,36,28,92.9,92.9,8.79,CSE 132C,Database System Implementation (A),B+,3.48,B-,2.81
"Powell, Thomas Allan",SP23,124,31,93.3,93.3,11.6,CSE 135,Online Database Analytics Appl (A),B+,3.32,B,3.22
"Chin, Bryan W.",SP23,234,124,86.9,91.8,7.85,CSE 140,Component&Desgn Tech/Digtl Sys (A),B+,3.39,B-,2.93
"Eldon, John",SP23,231,69,78.3,85.5,6.8,CSE 140L,Digital Systems Laboratory (A),A-,3.7,B+,3.49
"Eldon, John",SP23,174,57,80.4,92.0,7.65,CSE 141L,Project/Computer Architecture (A),B+,3.46,B+,3.37
"Gupta, Rajesh K.",SP23,24,7,85.7,100.0,5.64,CSE 143,Microelectronic System Design (A),B,3.2,B+,3.31
"Gao, Sicun",SP23,337,93,97.7,97.7,7.19,CSE 150B,AI: Search and Reasoning (A),A-,3.72,B+,3.64
"Shang, Jingbo",SP23,188,102,94.1,90.1,5.88,CSE 151A,Intro to Machine Learning (A),A-,3.74,A-,3.72
"Yu, Qi",SP23,215,156,76.5,70.4,9.23,CSE 151B,Deep Learning (A),B+,3.57,B+,3.63
"Chandraker, Manmohan Krishna",SP23,52,32,90.6,90.6,8.19,CSE 152B,Intro to Comp Vision II (A),B+,3.69,A-,3.73
"Schulze, Jurgen P.",SP23,30,4,100.0,100.0,14.5,CSE 165,3D User Interaction (A),A,4.0,A-,3.82
"Weibel, Nadir",SP23,30,4,100.0,66.7,14.5,CSE 165,3D User Interaction (A),A,4.0,A-,3.82
"Li, Tzumao",SP23,40,13,100.0,100.0,11.42,CSE 168,Computer Graphics II:Rendering (A),B+,3.6,B+,3.62
"Kumar, Rakesh",SP23,47,35,91.4,85.7,4.96,CSE 175,Entrepreneurship for Engineers (A),A-,3.8,B,3.27
"Bafna, Vineet",SP23,20,10,88.9,100.0,7.0,CSE 182,Biological Databases (A),B+,3.63,A-,3.74
"Gymrek, Melissa Ann",SP23,104,59,98.3,100.0,8.29,CSE 185,Advanced Bioinformatics Lab (A),A-,3.89,A-,3.75
"Soosai Raj, Adalbert Geral",SP23,48,33,96.8,100.0,5.6,CSE 190,Top/Computer Sci & Engineering (A),A-,3.97,A-,3.91
"Lerner, Ian Amihay",SP23,20,5,80.0,100.0,2.5,CSE 191,Semnr/Computer Sci & Engineer (B),A,4.0,A,4.0
"Briones, Jor-el Thomas Caparas",SP23,279,187,88.6,89.7,7.25,CSE 20,Discrete Mathematics (A),B+,3.42,B+,3.54
"Jones, Miles E",SP23,283,140,90.8,92.4,6.95,CSE 21,Math/Algorithm&Systems Analys (A),B+,3.51,B,3.22
"Porter, Leonard Emerson",SP23,181,137,73.5,64.9,12.17,CSE 30,Computer Organiz&Systms Progrm (A),B,3.16,B-,2.78
"Porter, Leonard Emerson",SP23,182,139,79.0,79.6,11.6,CSE 30,Computer Organiz&Systms Progrm (B),B,3.22,B-,2.86
"Chin, Bryan W.",SP23,126,79,84.6,87.2,11.34,CSE 30,Computer Organiz&Systms Progrm (C),B,3.23,C+,2.48
"Moshiri, Alexander Niema",SP23,134,93,89.0,97.8,6.06,CSE 6R,Intr/CompSci&Obj-Ori:Python (A),B,3.25,B,3.03
"Elsherif, May Elhussein",SP23,190,78,80.5,80.5,6.22,CSE 8A,Intro to Programming 1 (A),B+,3.49,B-,2.93
"Mignozzetti, Umberto",SP23,48,28,75.0,67.9,5.07,CSS 100,Advanced Programming: CSS (A),A-,3.75,A-,3.82
"Pass, Natalye Joann",SP23,23,9,100.0,100.0,8.06,DOC 100D,Promises&Contradictions/USCult (A),A-,3.71,A-,3.86
"Pass, Natalye Joann",SP23,22,5,80.0,100.0,6.1,DOC 100D,Promises&Contradictions/USCult (B),B+,3.5,B,3.18
"Solomon, Amanda Lee Albaniel",SP23,251,230,87.4,90.4,3.74,DOC 3,Imagination (A),A-,3.9,A-,3.84
"Johnston, Emily Ronay",SP23,238,217,77.4,92.6,3.34,DOC 3,Imagination (B),A-,3.88,A-,3.78
"Strom, Megan C.",SP23,249,229,68.1,66.1,3.87,DOC 3,Imagination (C),A-,3.86,A-,3.72
"Strom, Megan C.",SP23,250,217,64.4,66.7,3.29,DOC 3,Imagination (D),A-,3.83,B+,3.56
"Rampure, Suraj",SP23,117,92,97.8,98.9,8.32,DSC 10,Principles of Data Science (A),B+,3.55,B,3.21
"Rampure, Suraj",SP23,117,80,82.3,96.2,8.78,DSC 10,Principles of Data Science (B),B+,3.42,B,3.14
"Salimi, Babak",SP23,99,81,87.7,80.0,5.33,DSC 100,Intro to Data Management (A),A-,3.86,A-,3.77
"Albuyeh, Rod",SP23,112,77,93.5,92.2,6.74,DSC 102,Systems for Scalable Analytics (A),A-,3.73,B+,3.53
"Liao, Soohyun Nam",SP23,100,46,71.7,68.9,8.09,DSC 106,Intro to Data Visualization (A),A-,3.75,A-,3.85
"Wilber, Jared Dane",SP23,74,31,86.2,96.3,8.57,DSC 106,Intro to Data Visualization (B),B+,3.67,A,4.0
"Ustun, Tevfik Berk",SP23,46,19,57.9,52.6,8.85,DSC 140A,Probabilistic Modeling and ML (A),B,3.12,B,3.2
"Eldridge, Justin Matthew",SP23,75,25,91.3,95.7,5.8,DSC 140B,Representation Learning (A),B+,3.39,B+,3.38
"Hu, Zhiting",SP23,71,17,100.0,50.0,6.37,DSC 140B,Representation Learning (B),B+,3.63,B+,3.43
"Langlois, Marina",SP23,135,59,98.1,96.3,8.72,DSC 20,Prgrmng/DataStruc for Data Sci (A),B+,3.47,B-,2.86
"Langlois, Marina",SP23,97,49,81.3,87.5,13.36,DSC 30,DataStrc/Algrthms for Data Sci (A),B,3.0,C+,2.54
"Langlois, Marina",SP23,96,35,86.7,93.3,11.37,DSC 30,DataStrc/Algrthms for Data Sci (B),B+,3.47,B,3.11
"Liao, Soohyun Nam",SP23,30,21,90.5,85.7,10.31,DSC 30,DataStrc/Algrthms for Data Sci (C),B+,3.33,B,3.08
"Wang, Yusu",SP23,73,32,100.0,96.7,5.7,DSC 40B,Theor Fndtns of Data Sci II (A),B+,3.65,B+,3.32
"Rahman, Tauhidur",SP23,130,106,90.6,70.5,11.69,DSC 80,Practice of Data Science (A),B+,3.39,B+,3.36
"Klemmer, Scott R",SP23,146,43,52.6,29.7,3.03,DSGN 1,Design of Everyday Things (A),A-,3.81,B+,3.51
"Hollan, James D.",SP23,146,44,86.0,76.7,5.06,DSGN 1,Design of Everyday Things (B),B+,3.6,B+,3.5
"Aronoff-Spencer, Eliah Sea",SP23,20,10,100.0,100.0,6.5,DSGN 160,Special Topics in Design (A),A,4.0,A-,3.96
"Hall, Drew A.",SP23,86,64,90.5,93.7,10.02,ECE 100,Linear Electronic Systems (A),B-,2.9,B-,2.79
"Bharadia, Dinesh",SP23,105,71,87.1,90.0,7.98,ECE 101,Linear Systems Fundamentals (A),B,3.0,B,3.22
"Kuzum, Duygu",SP23,67,45,84.4,97.8,8.19,ECE 103,Fundamntls/Devices & Materials (A),B,3.07,B,3.22
"Fullerton, Eric E",SP23,37,17,82.4,100.0,10.15,ECE 107,Electromagnetism (A),B-,2.94,B-,2.75
"Orlitsky, Alon",SP23,196,67,60.0,55.4,7.12,ECE 109,Engineering Probability&Stats (A),B-,2.72,B,3.01
"Sievenpiper, Daniel F.",SP23,45,14,92.3,92.3,6.64,ECE 123,Antenna Systems Engineering (A),B+,3.36,B-,2.76
"Esmaili, Gholamreza",SP23,23,9,62.5,87.5,12.0,ECE 125B,Intro to Power Electronics II (A),B,3.0,B+,3.45
"Gessner, Richard K.",SP23,44,14,84.6,92.3,12.64,ECE 140B,The Art of Product Eng II (A),B+,3.36,B-,2.78
"Khoshabeh, Ramsin",SP23,44,14,84.6,100.0,12.64,ECE 140B,The Art of Product Eng II (A),B+,3.36,B-,2.78
"Silberman, Jack",SP23,25,5,80.0,100.0,13.3,ECE 148,Intro to Autonomous Vehicles (A),A-,3.8,A-,3.95
"Gilja, Vikash",SP23,89,36,84.8,93.9,8.21,ECE 15,Engineering Computation (A),C+,2.58,C,2.26
"Sworder, David D.",SP23,54,13,63.6,36.4,8.32,ECE 153,Probability&Random Process/Eng (A),B-,2.91,B,3.23
"Wang, Edward Jay",SP23,35,27,85.2,88.9,9.09,ECE 16,Rapid Hardware & Software Dsn (A),B+,3.37,B+,3.43
"Harris, Frederick Joel",SP23,38,13,90.9,81.8,7.05,ECE 161C,Apps of Digital Signal Process (A),B,3.25,B+,3.63
"Hsueh, Tzu-Chien",SP23,74,64,95.2,100.0,7.87,ECE 163,Electronic Circuits & Systems (A),B+,3.4,B+,3.41
"Mercier, Patrick Philip",SP23,94,47,97.7,97.7,9.88,ECE 165,Digtl Integrated Circuit Desgn (A),B+,3.41,B,3.23
"Zheng, Yang",SP23,74,53,98.1,100.0,10.84,ECE 171A,Linear Control System Theory (A),B+,3.31,B+,3.35
"Xie, Pengtao",SP23,22,19,78.9,89.5,7.76,ECE 175B,Prob Reasoning & Graphical Mod (A),B+,3.63,B,3.09
"Zhang, Xinyu",SP23,20,7,83.3,83.3,12.17,ECE 191,Engineering Group Design Proj (A),B+,3.67,B,3.25
"Dey, Sujit",SP23,54,22,90.0,70.0,7.83,ECE 25,Introduction to Digital Design (A),B+,3.43,B-,2.86
"Mir Arabbaygi, Siavash",SP23,133,46,59.5,76.2,8.91,ECE 30,Intro to Computer Engineering (A),B-,2.95,C+,2.64
"Taur, Yuan",SP23,108,38,86.5,64.9,8.23,ECE 35,Introduction to Analog Design (A),B,3.13,C+,2.43
"Zeger, Kenneth A.",SP23,137,48,78.3,89.1,8.41,ECE 45,Circuits and Systems (A),B,3.13,B-,2.76
"Famulari, Melissa",SP23,60,36,66.7,76.5,6.96,ECON 100A,Microeconomics A (A),B-,2.87,C+,2.58
"Famulari, Melissa",SP23,167,103,80.0,81.0,7.31,ECON 100A,Microeconomics A (B),B-,2.95,C+,2.6
"Grigoryan, Aram",SP23,119,65,92.3,100.0,5.47,ECON 100B,Microeconomics B (A),B+,3.38,B,3.12
"Grigoryan, Aram",SP23,238,158,94.9,97.4,6.27,ECON 100B,Microeconomics B (B),B,3.26,B-,2.88
"Boomhower, Judson P",SP23,90,78,96.1,100.0,6.0,ECON 100C,Microeconomics C (A),B,3.2,B,3.01
"Boomhower, Judson P",SP23,124,101,93.1,98.0,7.03,ECON 100C,Microeconomics C (B),B,3.21,B,3.01
"Vespa, Emanuel Ignacio",SP23,31,17,82.4,88.2,5.79,ECON 105,Industrl Orgniztn&Firm Stratgy (A),B,3.25,B-,2.82
"Herreno Lopera, Juan",SP23,148,59,77.6,77.6,6.36,ECON 110B,Short Run Macroeconomics (A),B,3.22,B-,2.88
"Herreno Lopera, Juan",SP23,201,87,79.3,75.0,6.5,ECON 110B,Short Run Macroeconomics (B),B-,2.83,B-,2.89
"Wieland, Johannes Friedrich",SP23,47,36,91.7,94.4,6.84,ECON 111,Monetary Economics (A),B+,3.41,B,3.01
"Candido, Maria Teresa",SP23,290,94,88.6,87.4,5.8,ECON 120A,Econometrics A (A),B,3.28,B-,2.85
"Candido, Maria Teresa",SP23,407,133,82.7,81.5,6.56,ECON 120B,Econometrics B (A),B,3.29,B-,2.85
"Sun, Yixiao",SP23,101,44,81.8,72.7,6.27,ECON 120C,Econometrics C (A),B+,3.35,B-,2.75
"Sun, Yixiao",SP23,89,42,85.0,77.5,6.5,ECON 120C,Econometrics C (B),B,3.29,B-,2.84
"Tayman, Jeff",SP23,35,9,85.7,100.0,5.25,ECON 125,Demographic Analys&Forecasting (A),B+,3.63,B-,2.73
"Eckert, Fabian Paul",SP23,29,8,100.0,100.0,4.25,ECON 129,"Cities, Inequality, Innovation (A)",B+,3.38,B,3.0
"Carson, Richard T",SP23,88,29,75.9,79.3,5.4,ECON 132,Energy Economics (A),B,3.23,B,3.14
"Gelber, Alexander Michael",SP23,45,14,100.0,100.0,4.21,ECON 134,The U.S. Social Safety Net (A),B+,3.64,B,3.23
"Trevino, Isabel",SP23,24,13,84.6,92.3,4.04,ECON 142,Behavioral Economics (A),B+,3.54,B,3.23
"Trevino, Isabel",SP23,20,12,100.0,100.0,3.83,ECON 142,Behavioral Economics (B),B+,3.56,B-,2.75
"Cohen, Darrel Steven",SP23,110,24,79.2,87.5,6.33,ECON 146,Economic Stabilization (A),B,3.08,B-,2.83
"Meckel, Katherine Hunter",SP23,45,5,100.0,100.0,4.5,ECON 151,Public Economics:Expenditure I (A),B+,3.6,B,3.12
"Meckel, Katherine Hunter",SP23,48,9,87.5,87.5,5.83,ECON 151,Public Economics:Expenditure I (B),B+,3.44,B,3.14
"Muralidharan, Karthik",SP23,87,25,88.0,96.0,7.06,ECON 164,The Indian Economy (A),B+,3.36,B-,2.97
"Heller, Yuval",SP23,96,21,95.0,95.0,3.66,ECON 168,Economics of Modern Israel (A),B+,3.63,B,3.12
"Newhouse, Herbert S",SP23,61,16,100.0,93.3,5.57,ECON 172A,Operations Research A (A),B+,3.43,B-,2.89
"Newhouse, Herbert S",SP23,29,7,100.0,100.0,4.5,ECON 172B,Operations Research B (A),A-,3.71,B-,2.9
"Newhouse, Herbert S",SP23,21,5,100.0,80.0,6.5,ECON 172B,Operations Research B (B),B,3.2,B-,2.9
"Levkoff, Steven B.",SP23,36,10,80.0,90.0,7.1,ECON 173B,Corporate Finance (A),B,3.2,B-,2.8
"Levkoff, Steven B.",SP23,22,11,90.9,100.0,5.59,ECON 173B,Corporate Finance (B),B,3.27,B-,2.86
"Levkoff, Steven B.",SP23,153,53,88.5,94.1,6.19,ECON 4,Financial Accounting (A),B-,2.88,C+,2.63
"Arnold, David Hall",SP23,409,150,95.2,96.6,5.33,ECON 5,Data Analytics/Social Sciences (A),B+,3.52,B,3.21
"Ambo, Theresa Jean",SP23,52,17,93.8,100.0,3.43,EDS 102,Intro to Qual Methods/EdRsrch (A),A,4.0,A-,3.96
"Eguchi, Emi",SP23,27,7,100.0,100.0,6.5,EDS 114,Cogn Develp&Intractv Compt Env (A),B+,3.57,B,3.18
"Clarke, Sherice Nicole",SP23,57,33,100.0,93.9,3.41,EDS 115,Cog Development & Education (A),A-,3.81,A-,3.8
"Clarke, Sherice Nicole",SP23,68,43,97.6,97.6,4.07,EDS 117,"Language, Culture & Education (A)",A-,3.87,B+,3.65
"Aragon, Maria Jose",SP23,66,28,100.0,100.0,3.46,EDS 117,"Language, Culture & Education (B)",A-,3.96,A-,3.77
"Raj, Anita",SP23,60,21,85.7,70.0,3.17,EDS 118,Adolescent Devlp & Education (A),A-,3.89,A-,3.78
"Simon, Elizabeth A",SP23,82,17,94.1,94.1,7.68,EDS 124AR,Teach Computation/DigitalWorld (A),A-,3.88,B+,3.68
"Simon, Elizabeth A",SP23,130,26,91.7,95.8,6.5,EDS 124AR,Teach Computation/DigitalWorld (C),A-,3.95,B+,3.49
"Eguchi, Emi",SP23,107,22,95.5,95.5,4.86,EDS 124BR,Teach Computational Thinking (A),A-,3.73,B+,3.62
"Pappas, Elizabeth",SP23,41,12,100.0,100.0,4.67,EDS 128B,Intro/Teaching&Learning (Elem) (A),A-,3.92,A-,3.9
"Scharton, Susan Michelle",SP23,38,31,96.8,93.5,4.82,EDS 130,Intro/Acad Ment/Elem Schl Stdn (A),A-,3.73,B+,3.51
"Chung, Luz Marina",SP23,29,12,91.7,100.0,6.83,EDS 136,Intro/Acad Tut/Second Schl Std (A),A-,3.82,A-,3.89
"Bintliff, Amy S.V.",SP23,29,11,100.0,100.0,6.68,EDS 145,Arts Across the Curriculum (A),A-,3.91,B+,3.49
"Ambo, Theresa Jean",SP23,20,8,100.0,100.0,4.0,EDS 180,Topics in Education Studies (A),A,4.0,A,4.0
"Ngo, Anh-Thu T.",SP23,54,40,95.0,97.5,4.6,ENG 100D,Sustainable Development Design (A),A-,3.87,B+,3.65
"Hein, Lin Thu",SP23,48,27,88.9,96.2,5.96,ENG 100DR,Sustainable Development Design (A),A-,3.85,A-,3.85
"Hein, Lin Thu",SP23,39,19,84.2,89.5,5.24,ENG 100DR,Sustainable Development Design (B),B+,3.68,B+,3.62
"Daly, Heather Marie",SP23,21,10,100.0,100.0,2.1,ENVR 102,Selected Topics/Environmntl St (A),A,4.0,A-,3.76
"Siapno, Jacqueline A",SP23,51,26,96.0,88.0,3.42,ENVR 140,Wilderness and Human Values (A),A-,3.88,A-,3.83
"Aluwihare, Lihini",SP23,67,26,92.0,88.0,2.98,ESYS 10,Intro to Environmental Systems (A),B+,3.61,B+,3.42
"Lerner, Amy M",SP23,188,71,90.8,95.4,3.91,ESYS 103,Envrnmntl Chall: Science & Sol (A),B+,3.65,B+,3.46
"Hetherington, Elizabeth Dorsey",SP23,81,16,100.0,100.0,5.03,ESYS 187C,Envir Sys/Senior Seminar (A),A-,3.8,B+,3.65
"Marez, Curtis F.",SP23,22,4,100.0,100.0,3.5,ETHN 100C,Social Justice Praxis (A),A,4.0,A-,3.84
"Daly, Heather Marie",SP23,43,14,100.0,90.9,2.86,ETHN 101TV,Ethnic Images on TV (A),B+,3.67,A-,3.73
"Museus, Samuel David",SP23,48,19,100.0,100.0,2.38,ETHN 109,Race & Social Movements (A),A-,3.94,A-,3.91
"Werner, Bradley T.",SP23,25,9,100.0,100.0,5.61,ETHN 113A,Decolonizing Geology (A),A-,3.88,A-,3.95
"Choi, Esther Min",SP23,28,10,100.0,100.0,1.7,ETHN 117,Organic Social Movements (A),A,4.0,A,4.0
"Tran, Ly Thi Hai",SP23,32,9,100.0,100.0,2.94,ETHN 126,Comp Filip&Viet Am Ident&Cmnty (A),A-,3.78,A-,3.85
"Martin Sandino, Amanda Maria Yoland",SP23,33,19,82.4,100.0,2.39,ETHN 127,Sexuality & Nation (A),A-,3.78,A-,3.96
"Martin Sandino, Amanda Maria Yoland",SP23,22,12,100.0,100.0,2.0,ETHN 137,Latina Issues & Cultural Prod. (A),A-,3.92,A,4.0
"Batarseh, Amanda Alicia",SP23,22,10,100.0,100.0,3.1,ETHN 166,Topic:Arab/Muslim Amer Identy (A),A-,3.7,A-,3.95
"Fuste, Jose Ignacio",SP23,96,51,100.0,100.0,4.54,ETHN 30,Intro Chicanx & Latinx Studies (A),B+,3.42,B+,3.49
"Streeby, Shelley",SP23,377,123,86.3,88.8,3.84,ETHN 3R,R-Intro: Making Culture (A),A-,3.83,B+,3.68
"Tan, Gene Brian",SP23,71,29,96.3,85.2,4.8,FMPH 101,Epidemiology (A),B+,3.44,B+,3.43
"Rana, Brinda Kanti",SP23,67,39,79.5,78.9,6.04,FMPH 102,Biostatistics in Public Health (A),B,3.1,B,3.18
"Rana, Brinda Kanti",SP23,70,52,88.5,84.6,5.88,FMPH 102,Biostatistics in Public Health (B),B+,3.46,B,3.23
"Campbell, Chadwick Karl",SP23,73,46,95.7,97.8,3.63,FMPH 110,Health Behavior & Chronic Dis (A),A-,3.89,A-,3.99
"Nguyen-Grozavu, France T.",SP23,69,36,82.9,82.9,4.91,FMPH 120,Health Policies/Healthy Lfesty (A),B+,3.56,B+,3.34
"Ciborowski, Haley Minae",SP23,68,57,98.2,92.9,4.86,FMPH 130,Environment & Occuption Health (A),B+,3.59,B+,3.57
"Fielding-Miller, Rebecca",SP23,30,11,81.8,81.8,5.05,FMPH 155,Qualitative Research (A),B+,3.55,B-,2.89
"Zoumas-Morse, Christine E.",SP23,33,17,100.0,100.0,2.37,FMPH 161,ClinicalNutrition/PublicHealth (A),A-,3.8,A-,3.83
"Harrell, Maralee Mae",SP23,39,19,94.7,94.7,3.24,FMPH 191,Topics in Public Health (A),A-,3.95,B+,3.66
"Eikey, Elizabeth Victoria",SP23,33,28,100.0,100.0,2.64,FMPH 191,Topics in Public Health (B),A-,3.86,A-,3.85
"Zoumas-Morse, Christine E.",SP23,31,9,87.5,87.5,2.5,FMPH 194,Public Health Capstone II (A),A-,3.88,A-,3.94
"Nguyen-Grozavu, France T.",SP23,33,18,88.9,83.3,5.28,FMPH 194,Public Health Capstone II (B),A-,3.94,A-,3.87
"Ciborowski, Haley Minae",SP23,33,13,100.0,100.0,3.88,FMPH 194,Public Health Capstone II (D),A,4.0,A-,3.99
"Marquez, Becky",SP23,34,29,93.1,100.0,5.47,FMPH 194,Public Health Capstone II (E),A-,3.97,A-,3.93
"Ciborowski, Haley Minae",SP23,31,20,100.0,100.0,3.4,FMPH 194,Public Health Capstone II (F),A,4.0,A-,3.88
"Binkin, Nancy Jeanne",SP23,20,18,83.3,88.2,11.39,FMPH 196C,Honors Practicum III (A),A-,3.94,A,4.0
"Trinidad, Dennis Ryan",SP23,74,48,100.0,100.0,4.25,FMPH 40,Introduction to Public Health (A),B+,3.61,B+,3.51
"Wilson, Brenda K",SP23,43,20,100.0,93.8,3.97,GLBH 100,Special Topics/Global Health (C),A-,3.84,A-,3.7
"Sanchez, Giselle",SP23,62,29,96.6,96.6,3.19,GLBH 100,Special Topics/Global Health (E),A-,3.81,A-,3.79
"Sloane, Julia Kathryn",SP23,34,15,92.3,92.3,2.35,GLBH 101,Aging: Culture&Health/Hum Dev (A),A-,3.75,A-,3.82
"Stewart, Alexander B",SP23,31,19,94.7,94.7,4.61,GLBH 105,Global Health and Inequality (A),A-,3.88,A-,3.84
"Wilson, Brenda K",SP23,50,17,93.8,93.8,3.75,GLBH 107,Health/Refugees&DisplacedPop (A),A,4.0,A,4.0
"Olivas Hernandez, Olga Lid",SP23,41,13,100.0,100.0,3.67,GLBH 109,Decolonizing Global Health (A),A,4.0,A-,3.76
"Stewart, Alexander B",SP23,29,14,100.0,100.0,4.79,GLBH 147,Global Health and Environment (A),B+,3.62,B+,3.43
"Olivas Hernandez, Olga Lid",SP23,127,36,88.2,82.4,3.97,GLBH 148,Global Health&Cultrl Diversity (A),A-,3.85,A-,3.89
"Burgos, Jose L.",SP23,195,153,90.1,90.8,3.03,GLBH 181,Essentials of Global Health (A),A-,3.99,A-,3.9
"Wu, Hua",SP23,144,60,96.6,98.3,3.57,GLBH 20,Introduction to Global Health (A),B+,3.57,B+,3.32
"Ackerman, Farrell",SP23,191,68,93.8,92.2,3.72,HDS 1,Intro/HumanDevelopmentScience (A),B,3.24,B+,3.36
"Kamowski-Shakibai, Margare",SP23,73,20,88.9,88.9,3.06,HDS 120,Language Development (A),A-,3.83,A-,3.75
"Rodriguez, Victoria Calip",SP23,94,26,100.0,100.0,3.27,HDS 122,Development/Social Cognition (A),A,4.0,A-,3.92
"Ishizuka, Katie E",SP23,44,21,100.0,100.0,2.8,HDS 173,"Race, Media, and Identity (A)",A-,3.95,A-,3.87
"Bjorklund, Peter",SP23,24,14,100.0,100.0,6.35,HDS 181,Exper Proj/Human Dev. Resear (A),B+,3.38,A-,3.75
"Warstadt, Melissa Fawn",SP23,38,14,92.3,92.3,4.35,HDS 60,Intro to Statistical Analysis (A),B+,3.31,B,3.21
"Prestholdt, Jeremy",SP23,69,30,93.1,96.6,4.37,HIAF 113,SmallWars GloblOrdr/Afrca&Asia (A),B+,3.54,B,3.19
"Matsumura, Wendy Y",SP23,101,30,100.0,96.4,3.21,HIEA 114,Postwar Japan (A),A-,3.93,A-,3.88
"Kletzer, Benjamin Nathan",SP23,46,17,94.1,88.2,4.03,HIEA 131,China/War & Revolution 1911-49 (A),B+,3.69,B+,3.48
"Lu, Weijing",SP23,24,11,77.8,77.8,5.5,HIEA 138,Women & the Chinese Revolution (A),B+,3.56,B,3.12
"Henry, Todd A.",SP23,49,15,100.0,100.0,4.77,HIEA 151,"The Two Koreas, 1945-Prsent (A)",B,3.07,B,3.26
"Edelman, Robert S.",SP23,70,22,95.5,95.5,3.95,HIEU 114,USSR & Russia:1917 to Present (A),A-,3.84,A-,3.7
"Aschenbrenner, Nathanael A",SP23,57,25,95.8,100.0,4.0,HIEU 115,The Pursuit of the Millenium (A),A-,3.79,B+,3.52
"Devereux, Andrew W",SP23,48,16,93.8,93.8,4.13,HIEU 144,Topics in European History (A),B+,3.43,B,3.03
"Radcliff, Pamela B.",SP23,27,7,100.0,100.0,7.36,HIEU 151,Spain Since 1808 (A),B,3.29,B,3.18
"Ivey, James Alexander",SP23,56,17,94.1,100.0,3.32,HIGL 127,Sport in the Modern World (A),A-,3.73,A-,3.87
"Cowan, Benjamin A",SP23,46,13,76.9,84.6,4.35,HILA 102,Latin America/Twentieth Centry (A),B+,3.42,B+,3.41
"Graham, Jessica Lynn",SP23,52,17,100.0,93.8,5.38,HILA 121B,History of Brazil 1889-Present (A),B+,3.67,B+,3.67
"Pineda De Avila, Nydia",SP23,33,11,100.0,100.0,3.1,HILA 135,Knowledge & Science 1500-1800 (A),A-,3.8,A-,3.86
"Matsumura, Wendy Y",SP23,184,80,92.0,95.9,3.21,HILD 12,Twentieth-Century East Asia (A),A-,3.87,A-,3.85
"Hendrickson, Gerald M.",SP23,163,47,93.0,97.7,3.79,HILD 2C,United States History (A),B+,3.44,C+,2.67
